lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
IT,NL,28,28,0,1.0,0.8793527963418923,377.5,302.1
US,NL,37,36,0,0.972972972972973,0.8617562156243666,303.5,298.6
US,FR,32,31,0,0.96875,0.8425539219962727,454,504.9
US,GR,62,57,0,0.9193548387096774,0.8247120779251881,426,477.8
IT,NZ,27,26,0,0.9629629629629629,0.8171614606584349,1428.0,1800.7
ES,NL,50,46,0,0.92,0.811614974549363,246.5,263.5
AU,NL,88,78,0,0.8863636363636364,0.8033125457954654,186.5,230.8
US,NZ,46,42,0,0.9130434782608695,0.7967506436477582,901.5,1219.7
SG,NL,31,29,0,0.9354838709677419,0.7928101168125355,256,251.7
IE,NL,36,33,0,0.9166666666666666,0.7817298972308114,135,212.9
FR,NL,34,31,0,0.9117647058823529,0.7703918204763959,169,203.1
US,NO,46,41,0,0.8913043478260869,0.7696189698736854,553,618.9
IT,AU,124,103,0,0.8306451612903226,0.7549376308983489,1401,1816.7
MY,AU,37,33,0,0.8918918918918919,0.7529115358483285,1470,1298.5
NO,NL,37,33,0,0.8918918918918919,0.7529115358483285,134,191.5
US,AU,214,173,0,0.8084112149532711,0.7504280958563603,976,1547.4
CA,NL,46,40,0,0.8695652173913043,0.7433386576963866,164.5,208.8
MY,ES,18,17,0,0.9444444444444444,0.7424220019799247,1005,1124.1
MY,DE,11,11,0,1.0,0.7411599827511859,1767,1348.5
IT,ES,173,138,0,0.7976878612716763,0.7316594800095914,1105.0,1239.0
GR,NL,61,51,0,0.8360655737704918,0.7238692567544833,106,160.8
IT,GR,32,28,0,0.875,0.7193135021517204,361.5,406.6
US,DE,55,46,0,0.8363636363636363,0.7173600361268822,623.0,804.1
CA,GR,80,65,0,0.8125,0.7134147429619243,257,332.8
US,BE,132,104,0,0.7878787878787878,0.7105089952478019,735.0,743.5
CA,NZ,69,56,1,0.8115942028985508,0.7038684285696075,2369.0,1951.0
IT,BE,91,71,2,0.7802197802197802,0.6847588519917921,652,787.3
US,IE,59,47,0,0.7966101694915254,0.6773174503671768,392,462.8
SG,BE,31,26,0,0.8387096774193549,0.6736529727502113,263.0,232.8
AU,NZ,59,46,1,0.7796610169491526,0.6586705755334911,283.0,469
CA,ES,103,77,0,0.7475728155339806,0.655819277626533,1430,1534.1
CA,AU,264,187,1,0.7083333333333334,0.6508281648644139,1531,1720.1
AU,GR,93,69,2,0.7419354838709677,0.6446603321344208,146,232.3
IT,IE,28,23,0,0.8214285714285714,0.644082084514089,666,595.7
IT,FR,16,14,0,0.875,0.6397666856325172,445.0,496.8
