lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
US,NL,105,104,0,0.9904761904761905,0.9480124705673877,877.5,1430.6
IT,NL,90,87,0,0.9666666666666667,0.9065255864388707,1292,1742.2
US,FR,50,49,0,0.98,0.8950431352816304,856,1691.7
CA,NL,139,131,0,0.9424460431654677,0.8905422354788564,1509,1796.0
US,GR,99,94,0,0.9494949494949495,0.8871714641821189,754.5,1442.6
MY,NL,28,28,0,1.0,0.8793527963418923,1554.5,1487.3
MY,GR,26,26,0,1.0,0.8712669561953783,1276.0,1228.6
IT,GR,70,66,0,0.9428571428571428,0.8620785266792448,1534.5,1860.6
ES,NL,58,54,0,0.9310344827586207,0.8356610516539494,261.5,372.5
MY,IE,19,19,0,1.0,0.8318156346315495,1186,1153.3
US,NZ,55,51,0,0.9272727272727272,0.827398219083632,1103,1818.6
CA,GR,137,122,0,0.8905109489051095,0.8272010063811369,813.0,1492.1
MY,SG,18,18,0,1.0,0.8241154494176252,1312.0,1340.5
AU,NL,100,89,0,0.89,0.8136853697209697,209,337.1
IE,NL,42,39,0,0.9285714285714286,0.8099028671147485,209,322.7
MY,BE,40,37,1,0.925,0.8013546984090248,1464,1402.8
US,NO,54,49,0,0.9074074074074074,0.8008987246934547,742,1148.3
US,BE,181,153,0,0.8453038674033149,0.7855039444987058,1035,1625.4
FR,NL,36,33,0,0.9166666666666666,0.7817298972308114,176,247.9
NO,NL,42,38,0,0.9047619047619048,0.7793460477494668,157.5,283.7
US,IE,89,77,0,0.8651685393258427,0.7789591241958206,813,1442.1
US,DE,70,61,0,0.8714285714285714,0.7733503128681549,1023,1591.4
IT,IE,57,50,0,0.8771929824561403,0.7675331041107074,1311.5,1985
US,SG,78,67,0,0.8589743589743589,0.7648582105386766,892,1590.2
IT,BE,132,110,2,0.8333333333333334,0.7605297055206518,1278.5,1754.9
SG,NL,32,29,0,0.90625,0.7578150066422117,256,251.7
