inn,n_countries,first_country,first_onset,last_country,last_onset,spread_span_days,in_eu_bloc
Atorvastatin,13,IT,2013-07-19,NL,2026-03-16,4623,False
Clopidogrel-Besilate,11,CA,2018-09-17,NL,2026-03-09,2730,False
Levetiracetam,11,IT,2014-03-21,BE,2026-04-22,4415,False
Olanzapine-Pamoate-Monohydrate,11,CA,2020-01-08,DE,2026-04-01,2275,True
Propofol,11,US,2014-10-06,DE,2026-05-01,4225,False
Budesonide,10,IT,2017-11-01,NL,2026-06-02,3135,False
Cinacalcet-Hydrochloride,10,IT,2020-10-13,NL,2026-02-24,1960,True
Fluconazole,10,MY,2024-01-01,GR,2026-04-21,841,False
Insulin glargine,10,MY,2020-01-01,FR,2026-04-02,2283,True
Latanoprost,10,IT,2022-01-22,PT,2026-03-22,1520,False
Montelukast-Sodium,10,IT,2018-05-07,NZ,2026-05-01,2916,False
Olanzapine(10 Mg),10,CA,2020-01-08,NL,2026-04-30,2304,True
Paracetamol,10,US,2021-03-02,IE,2026-03-09,1833,False
Quetiapine-Fumarate,10,CA,2017-04-01,PT,2026-03-22,3277,True
Sertraline-Hydrochloride,10,CA,2017-03-17,NL,2026-01-15,3226,False
Sodium-Pertechnetate(99Mtc),10,US,2013-05-29,GR,2025-12-23,4591,False
Sumatriptan-Succinate,10,ES,2023-09-05,BE,2026-02-19,898,False
Adalimumab,9,IT,2018-12-31,CA,2026-03-30,2646,False
Amoxicillin,9,CA,2022-07-12,NL,2026-05-20,1408,False
Ciprofloxacin,9,CA,2017-03-10,NL,2026-03-11,3288,False
Entecavir,9,IT,2020-09-01,DE,2026-04-01,2038,False
Estradiol,9,US,2013-05-29,SG,2026-06-02,4752,False
Ibuprofen,9,CA,2021-05-12,NO,2026-04-30,1814,False
Linezolid,9,IT,2013-10-28,NL,2026-03-11,4517,False
Metronidazole,9,US,2022-01-13,ES,2026-02-26,1505,False
Nifedipine,9,CA,2017-03-10,GR,2026-05-04,3342,False
Omeprazole,9,CA,2018-12-14,NL,2026-03-11,2644,False
Sunitinib,9,IT,2022-10-31,GR,2026-06-03,1311,False
Ticagrelor,9,US,2017-05-25,AU,2026-09-30,3415,False
Valaciclovir,9,MY,2023-01-01,IT,2026-06-20,1266,False
Acetylcysteine,8,US,2022-10-07,DE,2026-02-19,1231,False
Ambrisentan,8,IT,2023-01-23,FR,2026-05-26,1219,False
Candesartan-Cilexetil,8,IT,2016-05-26,NZ,2026-04-02,3598,False
Cinacalcethydrochlorid,8,IT,2020-10-13,NL,2026-04-28,2023,True
Deferasirox,8,IT,2018-07-01,ES,2026-04-23,2853,False
Dexamethasone,8,US,2013-05-29,BE,2026-04-23,4712,False
